year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,APR,EVS,18,602,258,14,18,-117.15243,32.7103,0.7860137820243835,Individual,4,1,0
2025,APR,EVS,19,532,259,17,23,-117.15334,32.710243,0.8451226353645325,Individual,3,1,0
2025,APR,EVS,20,789,261,12,20,-117.14994,32.71028,0.09101301431655884,Individual,1,1,0
2025,APR,EVS,21,589,283,14,20,-117.1526,32.70996,0.8155434131622314,Individual,2,1,0
2025,APR,EVS,22,653,285,27,27,-117.15166,32.709904,0.8760968446731567,Vehicle,1,1,0
2025,APR,EVS,23,128,300,19,19,-117.15874,32.70967,0.8380105495452881,Individual,2,1,0
2025,APR,EVS,24,855,302,19,20,-117.14901,32.709763,0.8646852374076843,Tent,1,1,0
2025,APR,EVS,25,914,307,11,16,-117.14828,32.709732,0.3828126788139343,Individual,1,1,0
2025,APR,EVS,26,667,339,9,16,-117.15159,32.70928,0.7276113629341125,Individual,1,1,0
2025,APR,EVS,27,463,340,11,15,-117.1543,32.709236,0.8018782734870911,Individual,2,1,0
2025,APR,EVS,28,533,340,12,17,-117.15336,32.709236,0.412075400352478,Individual,1,1,0
2025,APR,EVS,29,793,340,18,20,-117.14984,32.70926,0.8793640732765198,Tent,1,1,0
2025,APR,EVS,30,845,342,11,14,-117.1492,32.709282,0.8158381581306458,Individual,3,1,0
2025,APR,EVS,31,859,342,16,16,-117.14898,32.70927,0.8467096090316772,Tent,1,1,0
2025,APR,EVS,32,478,354,28,33,-117.153984,32.708942,0.8745994567871094,Individual,19,1,0
2025,APR,EVS,33,620,360,11,19,-117.1522,32.708977,0.7661250233650208,Individual,1,1,0
2025,APR,EVS,34,772,361,15,23,-117.15015,32.708965,0.7974819540977478,Individual,3,1,0
2025,APR,EVS,35,874,361,13,20,-117.148796,32.709,0.750497579574585,Individual,5,1,0
2025,APR,EVS,36,805,363,12,18,-117.14973,32.708977,0.8190906643867493,Individual,2,1,0
2025,APR,EVS,37,838,363,9,18,-117.1493,32.70898,0.016135215759277344,Individual,1,1,0
2025,APR,EVS,38,410,383,18,18,-117.15495,32.708652,0.8466224670410156,Individual,2,1,0
2025,APR,EVS,39,791,384,10,17,-117.149925,32.70871,0.1259235143661499,Individual,1,1,0
2025,APR,EVS,40,856,384,14,18,-117.14903,32.708714,0.8085940480232239,Individual,3,1,0
2025,APR,EVS,41,719,385,23,16,-117.150795,32.708694,0.8782106041908264,Vehicle,1,1,0
2025,APR,EVS,42,453,386,15,23,-117.1544,32.708588,0.7766104936599731,Individual,9,1,0
2025,APR,EVS,43,861,419,27,32,-117.14887,32.708176,0.8331792950630188,Tent,12,1,0
2025,APR,EVS,44,905,423,20,26,-117.14834,32.70817,0.8520442843437195,Tent,6,1,0
2025,APR,EVS,45,578,425,10,20,-117.15276,32.708126,0.5989789962768555,Individual,1,1,0
2025,APR,EVS,46,795,435,16,25,-117.149826,32.708004,0.8279556035995483,Individual,2,1,0
2025,APR,EVS,47,836,439,14,22,-117.14929,32.707977,0.8066440224647522,Tent,1,1,0
2025,APR,EVS,48,863,463,36,38,-117.14879,32.707573,0.8601638078689575,Individual,34,1,0
2025,APR,EVS,49,605,478,34,37,-117.15224,32.707344,0.8683282732963562,Individual,13,1,0
2025,APR,EVS,50,833,486,26,32,-117.149254,32.70731,0.8445568084716797,Individual,11,1,0
2025,APR,EVS,51,671,502,8,16,-117.15153,32.70718,0.5360389947891235,Individual,1,1,0
2025,APR,EVS,52,909,506,24,30,-117.148254,32.70708,0.8466233015060425,Tent,4,1,0
2025,APR,EVS,53,138,515,11,16,-117.15861,32.70692,0.6158627271652222,Individual,1,1,0
2025,APR,EVS,54,413,517,12,17,-117.15494,32.706936,0.7903788089752197,Individual,2,1,0
2025,APR,EVS,55,657,531,14,21,-117.15167,32.70677,0.8041237592697144,Individual,2,1,0
2025,APR,EVS,56,844,538,37,38,-117.14903,32.706608,0.8455691337585449,Individual,13,1,0
2025,APR,EVS,57,906,545,26,29,-117.148285,32.706585,0.8581874966621399,Individual,10,1,0
2025,APR,EVS,58,784,573,27,30,-117.149895,32.7062,0.8369906544685364,Tent,4,1,0
2025,APR,EVS,59,706,581,39,32,-117.150856,32.706074,0.866445004940033,Individual,10,1,0
2025,APR,EVS,60,472,584,16,20,-117.15411,32.70607,0.8110532164573669,Individual,3,1,0
2025,APR,EVS,61,658,589,35,38,-117.15152,32.705925,0.8604156970977783,Individual,19,1,0
2025,APR,EVS,62,837,597,18,18,-117.149254,32.70598,0.8714884519577026,Vehicle,1,1,0
2025,APR,EVS,63,773,607,15,26,-117.15012,32.705788,0.781070351600647,Individual,4,1,0
2025,APR,EVS,64,539,608,25,26,-117.15316,32.705738,0.32898586988449097,Tent,1,1,0
2025,APR,EVS,65,540,608,25,27,-117.15315,32.70573,0.37959957122802734,Individual,71,1,0
2025,APR,EVS,66,801,611,16,23,-117.14974,32.70576,0.8184624910354614,Individual,2,1,0
2025,APR,EVS,67,857,627,22,20,-117.14896,32.705585,0.2458946704864502,Individual,1,1,0
2025,APR,EVS,68,858,627,21,20,-117.14896,32.705585,0.36097395420074463,Vehicle,1,1,0
2025,APR,GL,0,733,48,9,20,-117.16039,32.715275,0.7944093346595764,Individual,1,1,0
2025,APR,GL,1,789,50,17,22,-117.15996,32.71523,0.8484947681427002,Individual,2,1,0
2025,APR,GL,2,861,50,15,23,-117.15945,32.71522,0.815449595451355,Individual,2,1,0
